model,clip_id,script,der,jer,der_miss_sec,der_fa_sec,der_confusion_sec,der_total_sec,n_speakers_ref,n_speakers_hyp,speaker_count_error,speaker_count_correct,der_correct_sec
pyannote-3.1,F2uXav-wriA__0_907,Devanagari,0.10580235820110316,0.1489907543560273,50.313999999999304,7.799999999999422,38.43700000000002,912.5600000000003,4,4,0,1,823.809000000001
pyannote-3.1,FDMf9ApmoNU__16_686,Bengali,0.3533873049769717,0.3797273986610815,109.21200000000012,69.33999999999955,43.19500000000038,627.4900000000002,4,4,0,1,475.08299999999974
pyannote-3.1,G6qzg93FxwE__21_116,Gujarati,0.06677415887348172,0.07773894583022142,3.982999999999997,1.9260000000000024,0.3030000000000044,93.02999999999999,2,2,0,1,88.74399999999999
pyannote-3.1,GEc_sS2KWo8__96_290,Gujarati,0.3343861060819416,0.6546347859362733,28.17299999999993,12.730000000000018,8.96399999999998,149.12999999999997,4,2,-2,0,111.99300000000005
pyannote-3.1,GfFLEIAAumk__90_163,Bengali,0.1449653485527924,0.19288726891557073,3.867999999999999,1.9789999999999974,4.820999999999998,73.59000000000002,2,2,0,1,64.90100000000001
pyannote-3.1,Gq45evw6ytY__597_1464,Oriya,0.35040828542708996,0.3715065731680687,114.28899999999987,71.90799999999928,124.0580000000007,885.4100000000004,3,3,0,1,647.0630000000001
pyannote-3.1,HZv_WvIr6lE__21_105,Tamil,0.2540112248266753,0.27388371910783593,5.762999999999988,10.574999999999992,6.744,90.86999999999998,3,3,0,1,78.36299999999999
pyannote-3.1,HpYG46tGyYs__103_998,Devanagari,0.08875097244638498,0.10397644199736521,29.923000000000123,35.155999999999935,11.356000000000076,861.23,4,4,0,1,819.9509999999998
pyannote-3.1,IAm1rt-MYcA__4_558,Bengali,0.32307193778353877,0.3881911029669544,68.38799999999975,52.90700000000028,53.18000000000001,540.0499999999997,4,4,0,1,418.48199999999997
pyannote-3.1,Iare1Emeueg__16_69,Devanagari,0.5207813222376325,0.47318816407049474,15.366999999999987,6.160999999999998,1.0009999999999994,43.26,2,2,0,1,26.892000000000014
pyannote-3.1,IfTL8SSN270__62_671,Devanagari,0.2885392067817127,0.3252325919036943,79.91700000000002,54.44499999999965,56.24699999999987,660.6000000000005,4,4,0,1,524.4360000000004
pyannote-3.1,Ig6szCD8m20__46_106,Devanagari,0.2530715005035248,0.35135046655183183,1.7980000000000103,2.9689999999999976,10.310999999999998,59.580000000000005,2,2,0,1,47.471
pyannote-3.1,Iqhnt8ENm3U__27_88,Devanagari,0.7553335336538465,0.7938395355539409,16.442999999999984,4.898000000000009,28.93400000000002,66.55999999999999,3,4,1,0,21.182999999999996
pyannote-3.1,J4-VpEkBzWw__0_600,Kannada,0.0853002565205619,0.1006484491416435,23.95300000000018,16.63200000000009,12.952000000000005,627.6300000000001,7,7,0,1,590.7249999999998
pyannote-3.1,JBYGLQJwFDc__103_407,Tamil,0.48365115297548206,0.6747587780979368,48.06499999999998,32.410000000000025,45.57899999999991,260.63000000000005,3,2,-1,0,166.98600000000016
pyannote-3.1,JSB1CeS4pP8__0_632,Gurmukhi,0.13856171009997023,0.1649400415279918,51.41899999999981,17.61399999999977,21.19700000000002,651.1899999999999,4,4,0,1,578.5740000000001
pyannote-3.1,Jc5AVwg2cZM__153_214,Devanagari,0.77640772052959,0.6864136824213544,17.234000000000005,17.674000000000017,13.764999999999967,62.68999999999999,3,3,0,1,31.69100000000002
pyannote-3.1,KAtdcDieQMw__57_599,Oriya,0.17449993928143936,0.21768208474934467,58.945999999999664,13.31800000000014,28.3230000000002,576.4299999999995,3,3,0,1,489.1609999999996
pyannote-3.1,KPkRi3GM7fs__47_642,Oriya,0.1213983784907486,0.14099364527901745,41.288999999999966,14.965999999999978,13.820999999999778,577.24,3,3,0,1,522.1300000000002
pyannote-3.1,Kdi-ECuOaKg__2_78,Malayalam,1.0416517514702115,0.7602303497961146,14.749999999999998,16.59799999999997,9.391000000000027,39.11000000000002,6,7,1,0,14.968999999999994
pyannote-3.1,L7xRazDdtgw__19_83,Gujarati,0.882516990860089,0.7739238151117064,13.029000000000007,7.432999999999996,17.19499999999999,42.67,3,5,2,0,12.446000000000009
pyannote-3.1,LBIWBxQ5H1s__90_1020,Malayalam,0.36625816057725274,0.41877882056501736,120.8909999999995,85.48699999999988,145.38,960.4100000000001,4,4,0,1,694.1390000000007
pyannote-3.1,LK23jX9tgZM__59_221,Gujarati,0.28902934279013887,0.5370880606865104,30.504000000000012,8.695000000000062,11.331999999999901,174.83,3,2,-1,0,132.99400000000003
pyannote-3.1,LctYmmr9-Vg__0_61,Devanagari,0.15513061650992685,0.15467444801196695,7.311000000000006,0.11199999999999477,0.0,47.85000000000001,2,2,0,1,40.539
