system,clip_id,script,n_ref_words,n_hyp,wer,cpwer,di_cpwer,cp_minus_di_cp,wder,hits,sub,del,ins,errors,cphits,cpsub,cpdel,cpins,cpn_ref_words,cperrors,cp_mapping,di_cphits,di_cpsub,di_cpdel,di_cpins,di_cpn_ref_words,di_cperrors,wder_num,wder_denom,wder_correct_wrong_spk,wder_sub_wrong_spk
sarvam-saaras-v3@reverb-v2,IAm1rt-MYcA__4_558,Bengali,1620,1547,0.21604938271604937,0.26296296296296295,0.21604938271604937,0.04691358024691358,0.038943894389438946,1302,213,105,32,350,1260,221,139,66,1620,426,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_03': 'Speaker_B', 'SPEAKER_00': 'Speaker_C', 'SPEAKER_01': 'Speaker_D'}",1302,213,105,32,1620,350,59,1515,42,17
sarvam-saaras-v3@reverb-v2,Iare1Emeueg__16_69,Devanagari,139,143,0.17266187050359713,0.7913669064748201,0.17266187050359713,0.618705035971223,0.4632352941176471,122,14,3,7,24,71,30,38,42,139,110,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_02': 'Speaker_B'}",122,14,3,7,139,24,63,136,54,9
sarvam-saaras-v3@reverb-v2,IfTL8SSN270__62_671,Devanagari,2214,2122,0.13233965672990064,0.1996386630532972,0.13233965672990064,0.06729900632339655,0.07396733909702209,1961,121,132,40,293,1864,166,184,92,2214,442,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C', 'SPEAKER_03': 'Speaker_D'}",1961,121,132,40,2214,293,154,2082,117,37
sarvam-saaras-v3@reverb-v2,Ig6szCD8m20__46_106,Devanagari,184,179,0.19021739130434784,0.2608695652173913,0.19021739130434784,0.07065217391304346,0.05202312138728324,155,18,11,6,35,148,19,17,12,184,48,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",155,18,11,6,184,35,9,173,6,3
sarvam-saaras-v3@reverb-v2,Iqhnt8ENm3U__27_88,Devanagari,177,157,0.519774011299435,0.8587570621468926,0.519774011299435,0.3389830508474576,0.3971631205673759,101,40,36,16,92,67,48,62,42,177,152,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_03': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",101,40,36,16,177,92,56,141,32,24
sarvam-saaras-v3@reverb-v2,J4-VpEkBzWw__0_600,Kannada,1543,1496,0.2235904082955282,0.26895657809462087,0.2235904082955282,0.045366169799092665,0.0472550382209868,1255,184,104,57,345,1205,214,124,77,1543,415,"{'SPEAKER_06': 'Speaker_A', 'SPEAKER_05': 'Speaker_B', 'SPEAKER_04': 'Speaker_C', 'SPEAKER_00': 'Speaker_D', 'SPEAKER_03': 'Speaker_E', 'SPEAKER_02': 'Speaker_F', 'SPEAKER_01': 'Speaker_G'}",1255,184,104,57,1543,345,68,1439,44,24
sarvam-saaras-v3@reverb-v2,JBYGLQJwFDc__103_407,Tamil,658,651,0.24924012158054712,0.38753799392097266,0.24924012158054712,0.13829787234042554,0.09697933227344992,516,113,29,22,164,473,108,77,70,658,255,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",516,113,29,22,658,164,61,629,44,17
sarvam-saaras-v3@reverb-v2,JSB1CeS4pP8__0_632,Gurmukhi,2086,1969,0.23777564717162034,0.2550335570469799,0.23777564717162034,0.01725790987535955,0.02072538860103627,1629,301,156,39,496,1605,313,168,51,2086,532,"{'SPEAKER_03': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_01': 'Speaker_D'}",1629,301,156,39,2086,496,40,1930,28,12
sarvam-saaras-v3@reverb-v2,Jc5AVwg2cZM__153_214,Devanagari,164,142,0.3475609756097561,0.5792682926829268,0.3475609756097561,0.23170731707317072,0.21014492753623187,111,27,26,4,57,89,33,42,20,164,95,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_01': 'Speaker_C'}",111,27,26,4,164,57,29,138,21,8
sarvam-saaras-v3@reverb-v2,KAtdcDieQMw__57_599,Oriya,1717,1543,0.4979615608619686,0.5911473500291206,0.4979615608619686,0.09318578916715198,0.15764546684709066,927,551,239,65,855,842,561,314,140,1717,1015,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",927,551,239,65,1717,855,233,1478,93,140
sarvam-saaras-v3@reverb-v2,KPkRi3GM7fs__47_642,Oriya,1733,1692,0.24350836699365264,0.3150605885747259,0.24350836699365264,0.07155222158107327,0.04830917874396135,1347,309,77,36,422,1287,305,141,100,1733,546,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",1347,309,77,36,1733,422,80,1656,60,20
